"","GSM505327","GSM505328","GSM505329","GSM505330","GSM505331","GSM505333","GSM505334","GSM505335","GSM505336","GSM505337","GSM505338","GSM505339","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505346","GSM505347","GSM505348","GSM505349","GSM505350","GSM505351","GSM505352","GSM505353","GSM505354","GSM505355","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505361","GSM505362","GSM505363","GSM505364","GSM505365","GSM505366","GSM505367","GSM505368","GSM505369","GSM505370","GSM505371","GSM505372","GSM505373","GSM505374","GSM505375","GSM505376","GSM505378","GSM505380","GSM505382","GSM505384","GSM505386","GSM505388","GSM505390","GSM505392","GSM505394","GSM505398","GSM505400","GSM505402","GSM505404","GSM505406","GSM505408","GSM505410","GSM505411","GSM505412","GSM505413","GSM505414","GSM505415","GSM505416","GSM505417","GSM505418","GSM505419","GSM505420","GSM505421","GSM505422","GSM505423","GSM505424","GSM505425","GSM505426","GSM505427","GSM505428","GSM505429","GSM505430","GSM505431","GSM505432","GSM505433","GSM505434","GSM505435","GSM505447","GSM505448","GSM505449","GSM505450","GSM505451","GSM505452","GSM505453","GSM505454","GSM505455","GSM505456","GSM505457","GSM505458","GSM505459","GSM505460","GSM505461","GSM505463","GSM505464","GSM505465","GSM505466","GSM505467","GSM505468","GSM505469","GSM505471","GSM505472","GSM505473","GSM505474","GSM505475","GSM505476","GSM505477","GSM505478","GSM505479","GSM505480","GSM505481","GSM505482","GSM505483","GSM505484","GSM505485","GSM505486","GSM505487","GSM505488"
"203963_at",12.0638,11.3553,12.3832,10.9812,8.7607,8.3969,8.2397,9.4002,6.9433,11.2113,10.975,10.7894,9.2444,10.8107,10.3061,9.284,10.3446,8.508,12.0857,12.6455,11.916,8.6398,8.8253,8.6587,11.7422,11.728,10.3171,11.356,8.3462,7.7502,7.0838,8.9223,8.1957,12.1092,11.6731,13.0861,12.2741,11.9837,12.1658,11.7799,12.0982,7.3925,7.9611,11.8307,8.0296,11.5362,12.0082,13.321,8.8828,11.0726,8.5622,11.5175,10.3906,11.86,12.4411,11.8202,12.7794,11.7608,12.1047,9.659,11.8247,13.5149,12.1587,9.5252,11.466,8.0705,9.8024,8.3039,10.7601,11.9975,11.0794,8.9283,10.8238,8.2676,12.189,7.8912,14.8948,8.0651,11.073,12.2047,11.9398,11.6818,7.8811,11.8006,10.976,13.7843,10.6024,12.1372,9.3087,7.4954,9.4839,12.2494,12.2392,7.9268,12.3648,12.3251,10.0077,2.8155,12.4701,12.6421,13.1886,10.9067,10.7021,6.5338,13.3377,10.4313,13.8283,13.074,4.6608,7.828,10.7427,13.7544,11.8654,10.797,10.5987,11.4559,7.6876,12.7582,11.7433,8.4484,12.2367,11.8789,13.5676,11.7728,11.6557,12.4714,13.452,13.7906,12.1205,11.8236
"217838_s_at",11.8757,11.8462,12.0364,12.1382,7.6534,9.5579,10.1702,8.2785,8.4605,10.7519,11.1963,11.7824,9.5908,9.714,9.5206,8.8303,9.5858,9.1748,10.4109,11.8275,10.139,9.6102,8.1124,8.8584,12.1268,11.5888,11.5862,10.318,9.5531,8.3891,8.5696,9.1637,9.3707,10.8835,11.5948,11.375,12.5505,12.1861,10.7861,10.8032,11.0543,9.5212,9.7588,13.0999,9.4687,9.3471,12.9724,9.9225,8.6887,11.4232,9.5392,9.264,11.3047,9.0761,10.88,9.9765,9.7597,10.2444,12.1172,7.9828,12.5353,9.8219,11.7453,10.9317,9.1999,9.714,10.6316,9.5302,11.757,11.6953,11.5631,8.7314,9.0649,9.0741,11.6449,8.7721,10.1298,8.9233,11.481,8.9352,12.4218,9.445,10.4665,10.3409,11.0928,10.8933,10.3452,9.3252,8.574,10.8968,9.4023,11.8731,9.5304,8.8049,12.0024,12.2818,11.241,8.6673,11.3783,9.9292,11.9696,10.2909,9.6942,8.319,10.3995,11.1488,11.1661,11.8766,8.9967,9.1497,10.1772,8.9295,11.8364,10.9705,10.7006,12.0876,9.5993,11.8732,11.4062,10.2426,8.834,11.2156,11.3198,10.6432,10.3179,12.0128,11.4841,8.2974,9.2279,12.8914
"209602_s_at",11.1535,10.8437,10.7019,11.6447,7.3628,8.1069,10.3437,7.5764,6.6175,10.1296,9.9895,10.9835,9.1959,10.1162,9.2392,8.8079,8.9575,3.9655,11.2706,11.3341,10.8359,10.3926,6.7092,7.6899,11.4216,11.2286,11.578,8.3442,8.2722,7.4846,6.5262,7.2882,8.4579,10.9844,11.3471,11.4407,10.8253,10.7504,11.2149,10.5645,11.4773,7.8565,5.773,10.3976,7.2402,10.4453,11.2285,11.2332,6.7967,10.9272,8.2617,10.4623,9.3914,7.5495,10.4448,9.9629,9.9886,9.4858,9.4651,7.2383,9.6359,7.9591,10.8931,11.0902,10.3524,6.1696,7.9057,5.2545,9.2358,10.1783,9.051,5.0434,8.2213,3.6039,9.6186,3.1119,10.4802,2.2896,9.2521,9.1944,10.0121,11.5135,7.1936,11.4182,10.9122,11.5783,10.1083,9.7199,9.2297,7.0487,9.0755,11.0155,10.4628,9.0994,12.5607,10.8822,9.8277,6.3071,12.0597,11.9369,12.4513,10.2457,10.5574,6.9195,10.904,9.9768,12.7286,12.1614,6.8205,7.4983,10.6932,11.8087,10.9503,10.0584,10.0387,11.7164,8.3884,10.7905,12.8387,8.542,10.9124,11.2448,10.6992,11.6566,11.6477,12.0137,12.1999,10.3284,8.0318,12.0178
"202089_s_at",14.1629,14.5094,11.7586,10.9894,11.5502,9.8817,13.4754,10.4048,10.5191,11.262,12.7289,13.5852,10.383,11.4773,10.0365,10.3296,12.8094,9.6299,10.989,14.4436,14.2569,11.1723,12.0075,9.9015,13.7197,13.4658,11.9682,12.3272,9.5577,11.1846,10.1474,9.9148,11.2576,13.7677,13.4121,13.7118,13.5653,10.9032,14.0442,12.5275,13.6885,8.807,9.6906,12.0902,10.3754,11.1186,10.8328,13.7449,10.6339,12.0619,10.5638,12.8618,11.9585,10.677,12.8539,10.5498,12.9901,11.0425,12.3137,11.4741,11.9571,12.047,13.3041,13.1583,10.6078,10.5588,10.5662,9.7675,12.1449,13.8486,11.4991,10.0422,10.7158,8.6664,12.0466,8.7025,14.4072,9.412,12.7767,9.0855,12.695,10.4101,9.8093,12.2415,12.2243,14.0003,12.0006,11.8811,9.6235,9.1645,10.0836,13.585,13.4362,11.5804,14.0194,14.847,10.5717,10.2343,13.9615,14.2376,14.6076,11.075,10.7427,11.0792,11.1446,11.5356,14.1799,14.4327,10.2204,10.1837,9.978,12.238,13.6799,13.4395,9.8385,14.3804,10.7871,14.7482,13.6227,11.1835,13.5402,12.7918,13.5254,13.5966,12.5993,12.9836,14.0242,14.3211,9.9147,11.8914
"207038_at",8.6291,9.5709,9.3182,10.1055,6.1483,4.4582,9.5136,7.1903,6.7795,8.3767,8.5858,6.5963,7.9957,8.1231,9.2714,7.2436,6.2922,4.744,8.3711,8.7704,7.2939,4.4333,5.5157,4.6579,8.3189,10.3166,8.2277,7.8316,5.8543,4.7978,6.1169,5.6979,6.0081,9.9091,9.4439,8.5205,7.7991,8.2306,7.4836,8.0604,9.4697,3.8101,6.1812,7.8687,5.1372,7.9784,9.5559,9.2461,7.0147,8.733,6.9382,7.4852,7.8805,7.5892,8.265,9.8901,8.4985,8.4266,10.0367,7.1675,8.393,8.997,10.8216,4.7969,9.4743,4.3267,6.7716,5.5214,9.0578,8.9169,6.3163,5.8038,7.0178,8.0267,8.8936,6.2992,7.4972,4.3915,8.4924,10.4223,7.6028,8.6476,6.7617,9.3888,10.811,7.6279,7.9585,5.4843,7.203,7.9085,7.5839,9.0809,10.038,7.2165,10.9411,9.4377,9.1282,5.8849,9.1463,13.1925,12.1222,8.269,8.0106,6.1843,9.8766,8.8017,9.1827,11.1042,3.1047,5.3575,10.159,9.5198,8.1969,8.7467,8.4946,10.1676,7.1461,8.4716,11.8412,7.4506,10.8725,8.7203,8.165,9.0989,7.9048,9.2921,12.0313,8.8168,7.8883,9.1262
"202088_at",14.6123,14.9213,12.9683,12.8995,12.502,11.1754,14.1768,11.4306,11.5128,12.9006,13.8576,14.5652,11.6836,12.932,11.4543,11.3805,13.8154,10.0835,12.1994,14.8448,14.7702,12.2009,12.9895,10.7953,14.5712,14.1932,13.0582,13.8039,10.5884,12.3104,11.0008,11.6687,12.2739,14.3521,14.6268,14.6215,14.5849,12.272,14.6166,13.5248,14.1483,9.1827,10.9274,13.5231,11.337,11.9665,12.5746,14.5636,12.0894,13.293,11.7379,13.9358,13.4694,12.009,13.5839,11.7664,13.9572,12.3134,13.21,12.4048,13.1868,12.7765,14.1245,13.8195,12.5364,12.0185,11.6994,10.0439,14.5124,14.6765,13.5006,10.9534,11.7631,10.8592,12.7707,10.1966,15.0905,11.192,15.2332,9.5147,14.1632,11.6388,10.4955,13.3284,13.5461,14.6412,13.0577,13.0762,11.0909,9.5773,11.0338,14.8403,14.778,13.2228,15.093,15.7691,11.2645,11.658,15.332,15.0335,15.3275,12.5591,11.543,12.593,11.8685,13.1425,15.1261,15.1433,11.5104,11.55,12.108,13.9771,14.7497,14.8461,11.1509,15.3408,11.8024,15.5587,14.7097,12.8014,14.4117,14.1117,14.8422,14.7144,14.2253,14.346,15.3118,15.4659,11.1364,14.474
"204881_s_at",10.5478,10.7098,11.3727,12.5652,10.5552,9.4855,11.0751,9.6288,9.7419,9.6794,10.2045,10.518,9.7463,9.4684,10.1392,9.2502,9.9255,9.2424,10.4363,12.4399,9.8834,9.7449,9.9552,9.4503,10.4931,12.0545,10.3183,9.9539,9.9051,10.0684,9.6394,9.56,9.2831,10.9344,11.4219,11.1725,12.3831,10.2985,11.3247,10.7347,13.484,9.3544,9.4331,10.4579,9.6884,10.4295,10.2968,11.896,9.8881,11.0832,9.9532,10.5687,9.681,10.7456,10.379,11.2222,11.6251,11.9489,13.1831,10.6586,12.2556,11.0301,12.7712,11.1614,10.5872,9.0239,9.8445,9.0062,10.5631,11.4698,10.3431,9.6558,9.0651,9.2294,11.159,9.8425,13.3501,9.5963,10.2923,10.496,11.2882,10.6571,10.4652,11.0808,12.1521,10.6344,10.2616,10.4987,9.9956,10.7352,10.4705,11.2715,10.6363,9.5484,11.406,11.1085,10.7899,8.7958,13.2399,11.407,14.0896,9.9988,9.6987,9.5637,11.0949,10.3498,12.2878,11.7765,9.4057,8.5641,10.3089,13.0417,9.3806,11.1356,11.2593,11.9386,9.7494,10.538,12.4597,11.197,11.3543,11.4534,10.7148,10.8744,9.5824,10.645,13.1057,10.513,10.9197,9.9504
"218532_s_at",9.6457,8.3003,10.2413,9.1473,6.4613,7.2301,11.323,6.8401,6.454,9.5452,9.2363,8.7106,7.3767,9.0277,7.9193,7.9615,7.4231,7.5269,10.6617,9.3523,9.6636,8.943,7.9715,7.675,7.0996,9.3448,7.9362,8.6554,7.9729,7.6609,6.4357,8.1411,7.6337,7.1285,9.5004,9.7527,9.2527,8.5971,10.622,9.1115,9.0509,6.8745,7.0856,9.6652,7.4029,7.3533,10.5635,10.1627,6.9187,11.0559,6.8268,9.1104,7.9246,6.2574,9.9704,7.3155,7.4906,8.1973,9.4272,5.0034,9.8445,8.1758,10.5191,10.7217,7.2008,7.2522,8.3462,7.6309,8.021,8.3468,7.4952,6.7161,5.5452,6.1909,8.222,5.9048,11.534,7.7726,8.272,7.9793,7.3477,9.0917,7.9016,8.7035,11.4691,10.1557,8.4256,9.3966,7.7207,8.8132,7.4331,8.7656,7.9558,7.9158,8.0182,7.6234,9.451,5.6187,11.1884,8.1467,11.111,9.0919,8.2269,6.406,11.1447,8.4889,11.0532,8.3856,9.2571,7.6104,10.524,9.608,9.6837,8.3802,9.2757,10.3111,7.1796,8.8849,7.7028,8.6303,6.9477,8.2991,7.718,9.1266,7.3664,9.3242,10.4416,9.4523,6.5515,11.0254
"211000_s_at",9.7316,11.2882,8.6531,9.3832,7.4048,8.3427,9.8925,7.7882,7.3019,8.0986,8.4126,7.3408,7.4405,8.3312,7.5125,7.8092,9.1445,7.9869,8.3199,10.5145,9.4412,7.0588,7.4195,7.2478,10.2516,8.5213,10.2295,8.6925,7.9352,5.4796,7.9163,7.3067,8.1422,9.7912,8.1922,8.08,11.2485,8.709,10.8391,8.2247,10.0655,7.5678,7.9979,9.9885,7.8357,7.8221,9.5004,8.6124,7.8934,8.9823,7.4521,6.2171,7.3856,6.7959,9.3928,8.7043,9.8677,9.6606,8.8123,7.4478,8.9915,9.5603,10.4977,8.0425,9.1572,7.0602,8.8198,8.0529,8.9393,9.5907,8.7553,7.2971,7.7762,7.3346,10.1994,7.3424,10.3641,6.6796,8.1985,6.9191,9.8928,9.7502,8.4819,10.1925,8.1579,8.7727,8.0443,9.5357,7.1951,8.5624,5.4453,11.8044,10.1959,7.1916,10.5512,10.2665,10.6822,7.7385,7.7802,12.0041,8.7245,9.7964,7.4317,9.4961,9.0567,9.2866,7.931,12.3638,9.4021,7.6569,7.4087,10.5717,11.0189,10.4823,10.1247,8.8426,7.9382,9.8425,11.3585,10.7119,11.7497,10.1846,10.2869,10.6426,9.957,10.5722,11.8854,11.5475,7.6231,9.3844
"218259_at",10.3963,9.4142,10.2641,10.8369,9.412,9.1956,10.4516,9.5324,8.7241,10.2003,9.748,10.105,9.8298,9.3036,9.6706,8.7706,9.8164,9.3663,11.0696,11.0321,9.9305,9.508,9.2563,9.4573,10.7207,10.219,10.2563,9.8752,9.2783,9.2516,10.0361,9.0473,9.2727,10.7859,11.1199,10.6188,10.719,10.559,11.599,10.0253,10.1936,9.2656,8.9358,10.3158,8.6437,9.9684,9.7882,10.3804,9.064,11.4126,9.462,10.7653,9.0908,8.4264,10.2136,9.5735,9.861,9.331,9.8416,9.1613,10.404,9.3987,10.9502,10.9612,10.1725,9.529,9.8749,9.0583,10.2832,10.8738,10.0437,8.3547,9.7361,9.3942,9.7258,8.8721,10.6735,8.7264,9.3742,8.8754,11.5701,10.7564,8.8442,10.5276,10.0065,10.2998,9.7746,9.971,9.4802,9.0198,9.1116,10.454,9.5806,9.529,9.4347,9.6822,8.8335,9.4021,10.2627,9.8089,10.2709,9.9914,10.0401,8.6124,8.8288,9.5211,10.3205,10.0396,8.8645,9.379,10.0364,11.0747,10.2379,10.252,8.6835,10.1802,9.1146,10.4732,10.2717,9.7696,10.3731,10.6647,9.6711,9.8321,10.2637,9.4126,10.9471,10.1181,9.1594,10.6441
"209791_at",8.1878,8.3732,10.3116,9.0129,10.3055,10.8728,8.7498,11.1324,10.3599,9.8715,9.1482,8.8037,9.0577,10.4562,10.8929,8.7486,11.0469,10.509,8.885,8.848,9.9711,10.4479,10.7394,10.3891,8.9031,8.6507,10.6408,9.8894,10.1466,11.2271,11.4846,11.6237,10.3051,8.5574,9.1237,8.0933,8.2355,8.9146,8.4618,9.2305,8.9684,10.0707,10.5846,8.8072,10.4193,10.6969,9.3776,8.5885,9.747,7.9093,10.8432,7.9739,10.1969,11.0668,9.3969,9.0077,7.091,10.0147,6.6321,9.779,9.1598,8.8986,8.017,6.9284,8.6421,9.7121,8.702,11.5622,11.5716,8.8875,9.7264,8.3055,8.8393,7.0309,8.6472,10.7038,8.8014,12.1716,8.8315,10.3215,8.9008,8.9021,11.467,9.663,7.0239,7.5124,10.7245,10.0131,11.0791,8.2823,11.9134,9.2842,10.8836,10.6659,8.9022,8.7569,6.3181,11.0591,7.6202,9.0518,8.594,10.2496,9.7435,10.2371,8.8099,7.794,7.9746,8.4242,11.3645,11.5145,9.4978,9.226,5.2568,10.2095,7.7126,7.1582,10.9014,8.1655,9.4319,10.2346,9.8839,10.3246,5.5552,8.778,9.9258,8.2537,7.6709,6.3779,9.326,7.5109
"218807_at",11.712,11.2932,10.2407,8.7277,9.431,10.4322,11.3518,10.2316,10.6392,10.3461,11.0891,12.4416,10.5185,10.1134,10.5153,10.9975,10.4554,9.3621,12.541,12.5266,10.0633,9.4642,8.2852,9.4746,12.111,10.3827,11.6894,11.6335,9.5097,11.5272,7.8797,8.9031,8.4921,11.8633,12.6619,12.3172,11.7564,12.7905,13.2121,10.8692,10.0033,9.3224,9.6071,11.8582,10.0948,10.0707,10.9744,11.8726,10.704,11.9333,9.0201,12.339,10.734,9.3795,10.9875,11.083,11.5952,11.4746,11.8745,9.7894,10.6268,11.8013,11.5208,12.397,12.8353,10.7465,9.4504,8.0546,10.9156,11.7578,11.4381,10.2629,10.2956,10.9605,11.9112,7.8809,12.7913,8.6093,9.9873,10.3818,12.4224,11.3707,8.9932,11.4762,11.9938,12.5122,11.5946,11.9201,11.1546,9.332,9.87,11.5283,11.2121,9.841,12.0799,11.8091,11.1796,10.7794,9.3168,12.0055,12.2305,11.5416,10.7029,9.574,11.2032,8.8376,12.7091,12.3639,10.2141,8.6119,11.4339,12.2304,10.7825,11.3811,9.7584,12.9344,10.5506,10.5007,11.3105,10.1054,12.5161,11.0178,11.637,11.9326,11.2821,12.5332,12.8961,12.0728,11.2296,11.5543
"221765_at",8.4652,9.1804,9.9421,11.6723,8.6269,6.9932,9.4039,7.9864,8.2455,9.2967,8.3236,8.8997,8.3369,7.9097,8.9592,6.9937,8.1902,6.6231,9.1526,11.026,8.0802,7.6985,8.3157,7.6277,9.0061,10.3056,8.6289,9.083,7.3754,8.2982,7.8555,6.345,7.7467,9.8328,10.3784,9.4373,11.4367,8.6282,9.4813,9.1093,12.1734,6.9921,7.5935,9.192,7.9526,8.1815,9.0788,10.6886,7.7591,10.1947,9.0158,9.3431,7.8924,8.3823,9.1768,8.957,9.5458,9.4477,11.155,9.3451,10.5003,8.972,12.037,10.1165,9.9723,7.5894,8.0915,7.55,9.2974,10.1542,8.8626,7.9049,7.4446,7.0805,9.768,8.4115,11.259,7.3782,8.7546,9.5089,10.5986,9.3166,8.1103,9.2629,11.1457,9.4791,8.1698,8.8811,8.3259,8.756,8.6357,10.6206,10.5639,8.1867,10.6539,10.1877,9.1497,7.7611,12.6124,10.6045,13.287,8.9287,8.9847,8.5595,9.6786,10.1138,11.046,11.0824,8.6297,8.1586,9.5242,12.3672,8.293,9.2812,10.476,10.4221,9.0007,9.7011,11.8409,10.432,10.3143,10.0862,9.5609,10.3514,9.276,9.6958,12.4147,10.2036,10.4512,9.9432
"203628_at",10.7755,9.841,9.4169,10.7668,6.2417,8.1707,11.3913,6.8459,8.0509,10.2676,8.7482,11.4914,7.6174,8.2848,6.3248,7.8213,10.7013,6.6642,9.6999,10.5476,10.3318,4.6809,7.168,8.3783,10.3855,9.9131,9.1156,8.7747,4.9963,6.7392,7.6927,7.1012,8.0613,10.119,9.7976,10.4411,10.1586,8.2562,10.7554,8.2252,10.0395,9.4743,8.5987,9.4791,7.0101,4.1982,9.39,9.9992,9.0128,11.8109,7.5772,10.4012,7.119,6.2579,9.5526,9.3018,10.2279,8.2331,12.7105,6.2098,11.0676,9.8635,10.9983,12.556,10.2914,4.347,8.2314,9.4931,11.1697,10.1469,9.4591,7.6975,7.6028,6.7144,9.3901,7.6682,14.782,8.7209,9.5163,7.5281,10.0812,8.7538,8.0245,8.3349,11.285,10.8229,8.9242,9.3252,7.4093,6.0633,7.1049,10.3429,9.0396,7.9148,9.4836,10.6958,8.2568,7.0799,8.0274,8.9142,10.3326,9.6083,5.9113,9.4807,8.5708,7.3792,15.5445,10.1334,7.4771,9.2369,9.3583,10.7715,9.5154,10.434,8.4852,11.8836,7.6683,8.8261,8.9492,8.7811,8.7039,8.7127,9.9817,8.5383,8.0269,9.6906,10.2376,7.9791,7.2608,10.7241
"218976_at",10.7154,10.9531,7.6926,11.4058,8.3815,7.2006,12.3901,6.4906,6.5483,9.2895,9.1395,10.9942,8.7117,7.8846,8.4101,7.5265,9.4474,8.158,5.4,12.0497,11.9432,8.3231,6.78,6.5949,11.8327,10.8567,11.3513,10.1764,6.8841,5.9129,6.9845,9.8653,4.8141,9.1839,8.6089,10.8698,11.7151,10.0755,11.0315,11.1602,10.7316,7.3543,6.869,11.1353,8.0287,8.6296,11.9573,9.3168,7.8649,11.3559,8.6673,8.9076,8.0514,5.6748,11.9687,7.2421,8.2057,9.1506,9.6739,8.0457,11.3736,9.5177,10.4978,12.0011,6.868,7.2522,6.9911,8.3964,6.7764,11.5226,8.8678,6.0266,8.6458,7.7584,8.4067,4.3355,12.1951,5.5374,9.1229,7.8091,11.7254,8.2142,8.3689,10.1086,9.5238,11.6309,9.9727,8.3772,8.4079,4.9993,8.7195,9.8159,10.4201,7.8373,11.2377,12.214,10.2164,4.4605,10.0624,10.0849,10.1161,9.8598,8.833,6.4287,9.6442,9.0032,9.7078,10.3289,7.2908,3.8698,8.4309,10.9937,11.8598,9.2585,4.6929,11.0069,7.872,10.8249,12.3094,9.2906,11.1203,11.2056,9.442,9.6937,8.9949,7.7284,12.5131,10.7625,7.0498,12.0243
"212208_at",10.2162,10.2149,10.5309,11.2145,9.4609,9.3862,9.6262,8.9967,8.9115,10.5497,10.0811,9.7427,9.7169,9.796,9.377,8.8874,9.2328,9.7908,10.1001,10.1758,11.0274,8.8704,9.0945,9.8257,9.969,9.5681,9.8033,10.5693,9.2941,9.8066,9.0369,8.8103,9.7525,9.7417,10.1587,9.71,10.4951,10.0136,10.2729,9.9505,9.567,8.5508,9.5046,10.9025,8.9231,9.3753,11.1045,10.3405,9.4974,10.6245,8.821,10.0054,9.2435,9.4157,9.2119,10.1639,11.0528,11.0039,10.8981,7.807,11.0941,10.7955,10.4399,10.0308,11.0673,9.6659,9.3995,9.7733,9.8184,10.3798,9.9131,9.9265,8.9543,9.1756,9.8607,9.7029,11.1936,10.1827,11.2524,8.797,9.6287,10.2166,9.2004,9.6767,10.1286,9.354,9.7082,10.5306,9.9655,9.609,9.3214,9.3549,8.9008,8.7007,10.0232,10.9454,9.2375,8.5252,11.1523,10.3037,9.0176,9.4548,8.9566,8.8417,9.2664,9.3556,10.7048,10.9916,9.1369,8.7677,10.6429,10.8673,9.4807,9.8927,9.9022,11.1196,8.6811,9.6029,9.8123,9.5434,10.2357,9.3888,9.5189,10.1033,9.4564,10.1942,10.9021,11.0602,9.3312,10.7269
"212148_at",12.2299,11.132,12.655,11.6885,10.2655,9.3949,12.5682,10.2657,9.8665,9.9578,10.9404,11.7877,10.4846,10.5958,11.2868,9.2244,11.5945,8.2524,11.3568,12.2201,10.8587,11.0426,8.9488,9.096,11.7366,13.1219,11.451,10.44,8.5953,10.7819,9.6663,9.5647,10.0428,11.5708,11.5808,11.8618,10.7861,11.3412,12.0494,11.2753,11.8226,9.4481,9.7944,10.5556,9.4249,10.0333,11.9824,11.5608,9.4503,12.7296,11.5574,12.0274,11.1959,10.1212,10.6307,11.3881,11.4162,12.0936,11.5354,8.6597,11.4661,11.2295,12.2221,12.6983,11.3471,9.2846,9.3743,8.9573,10.7719,12.0418,10.1491,9.0929,8.4598,9.8703,12.1762,9.9724,12.2759,11.8537,11.3765,11.3155,10.9222,10.9902,8.9841,11.0701,11.6781,11.1055,10.4579,9.6795,10.4945,7.6639,10.1673,10.6292,11.0988,10.1096,11.0652,10.5045,9.653,9.6189,10.7559,12.2508,10.8656,10.914,10.51,9.5824,11.1165,9.3676,12.144,10.8781,9.025,9.0949,11.832,10.988,10.2664,10.5024,11.4326,9.6436,9.0783,9.9724,11.635,9.8991,10.6955,11.7197,10.0752,11.4445,11.7106,11.5645,10.3704,10.4996,8.6812,10.6292
"204863_s_at",9.9978,11.6873,9.4441,10.0412,7.8701,8.1947,9.7687,7.7218,6.9864,8.3642,8.8275,7.4494,8.1566,9.0422,8.9011,7.5339,9.6556,9.1329,8.8289,10.5581,10.1392,7.1922,8.5096,8.1448,11.1168,9.2481,10.2326,9.7008,8.0287,7.4103,8.4199,7.3272,8.4059,10.37,8.1351,9.1509,11.6872,9.5861,10.2815,8.3545,10.3415,7.7077,7.949,10.6974,8.7409,8.1693,10.1343,9.2737,7.5126,9.4073,7.9706,6.9281,8.3829,4.4275,9.254,8.8708,9.6922,9.2968,8.4152,7.5862,8.6548,9.4593,11.1404,8.2421,9.2096,6.8914,9.0809,7.7519,8.9801,9.652,9.2462,7.1489,7.9062,7.6007,9.9284,8.1752,10.1085,5.7417,9.2492,4.8168,10.3807,10.7524,8.6972,11.1738,8.885,9.7565,8.8926,11.0353,8.4934,9.0224,8.167,11.69,10.4807,7.6829,10.6011,10.5171,10.5111,7.5474,8.1679,11.9698,8.7975,10.1977,7.8544,9.2298,8.7885,8.9268,7.6184,12.1943,9.2037,7.4192,8.0785,11.1041,10.9831,10.4916,9.7053,8.788,7.5542,9.3138,11.0395,10.1924,11.7312,10.1441,10.6455,10.1889,9.7294,10.266,12.1997,11.7059,7.0117,11.3017
"222125_s_at",10.0846,11.3964,11.0633,12.0589,8.7941,9.299,11.0407,10.035,8.4818,10.5242,10.097,10.8304,10.2115,10.7775,10.5156,8.9991,10.2023,9.4935,10.1666,10.7143,10.6615,9.838,9.4123,9.3849,11.3062,11.4633,10.6443,10.4321,9.3104,9.7792,9.5245,9.487,8.9075,10.373,10.8547,10.9318,10.6529,10.0085,10.4791,9.5836,10.8876,9.7875,9.8829,10.4858,10.1992,10.3494,11.5405,11.4468,9.9182,11.4798,10.3432,10.8477,8.1679,10.5897,10.12,10.231,10.9691,10.951,11.7582,9.7972,11.5561,11.1496,11.014,11.6831,10.1213,8.8235,9.4128,9.9038,9.4834,10.9439,10.3259,9.47,8.5795,9.7278,10.9246,9.8962,11.0581,9.2409,10.2571,10.0344,10.5905,10.5817,10.1382,11.198,11.0351,11.4388,10.6082,10.2062,9.8317,9.6282,10.1908,10.287,10.3779,9.9889,10.6966,11.0528,10.1727,7.67,11.3525,10.9274,10.9378,9.7753,10.1597,8.3502,11.0246,9.7608,11.2735,10.351,8.4611,9.8541,9.9484,11.5555,10.8674,10.4225,9.59,10.9494,9.803,9.5952,10.9269,9.6149,9.9906,10.7166,9.7507,10.1778,9.7104,10.6224,11.1671,11.2937,9.809,10.3659
"212195_at",12.0684,13.0105,10.6865,12.1357,9.282,9.055,12.0226,9.6723,8.5528,9.6649,10.1435,8.6414,9.3846,10.8553,9.9773,9.8942,11.6532,8.9414,11.2945,12.6114,11.9628,9.0738,10.0313,8.8029,12.5457,11.2633,12.1061,10.9762,9.9126,8.6073,9.5308,8.9099,10.3064,12.3112,9.8862,11.705,12.8748,12.0238,12.8381,10.5754,12.6476,9.0385,9.9881,12.0752,10.2378,9.7338,12.0772,11.5511,7.6908,11.6479,9.9765,7.3028,9.977,8.0674,11.5437,8.8683,10.4083,9.7196,9.3407,9.5489,10.1568,10.528,12.6289,10.259,11.8427,9.4479,11.8481,9.668,11.0953,12.18,11.3869,9.5856,9.4533,7.7427,12.0953,8.6251,12.3523,8.1236,10.6511,8.6502,12.4284,11.7572,10.4413,12.6511,10.1291,10.9134,11.2346,12.5774,8.3247,10.9253,8.028,13.7568,12.3163,9.61,12.7557,12.6872,12.8372,9.0962,10.1712,13.509,11.1388,12.3411,9.6868,11.1943,10.9881,11.325,10.8691,13.4595,10.7018,10.3491,8.9317,13.1641,13.2686,12.4655,11.6157,11.2879,10.3303,11.9811,13.3146,12.4413,13.2981,12.7596,12.2571,12.6265,11.6125,12.6667,13.6765,13.21,8.9224,12.814
