"","GSM505327","GSM505328","GSM505329","GSM505330","GSM505334","GSM505337","GSM505338","GSM505339","GSM505346","GSM505347","GSM505348","GSM505352","GSM505353","GSM505354","GSM505355","GSM505361","GSM505362","GSM505363","GSM505364","GSM505365","GSM505366","GSM505367","GSM505368","GSM505371","GSM505374","GSM505375","GSM505378","GSM505382","GSM505384","GSM505388","GSM505390","GSM505392","GSM505394","GSM505398","GSM505402","GSM505404","GSM505406","GSM505408","GSM505410","GSM505412","GSM505414","GSM505415","GSM505420","GSM505422","GSM505424","GSM505426","GSM505427","GSM505429","GSM505430","GSM505431","GSM505433","GSM505448","GSM505449","GSM505451","GSM505452","GSM505453","GSM505455","GSM505456","GSM505457","GSM505458","GSM505461","GSM505463","GSM505464","GSM505465","GSM505468","GSM505469","GSM505471","GSM505472","GSM505473","GSM505474","GSM505477","GSM505479","GSM505480","GSM505481","GSM505482","GSM505483","GSM505484","GSM505485","GSM505486","GSM505488"
"203963_at",12.0638,11.3553,12.3832,10.9812,8.2397,11.2113,10.975,10.7894,12.0857,12.6455,11.916,11.7422,11.728,10.3171,11.356,12.1092,11.6731,13.0861,12.2741,11.9837,12.1658,11.7799,12.0982,11.8307,12.0082,13.321,11.0726,11.5175,10.3906,12.4411,11.8202,12.7794,11.7608,12.1047,11.8247,13.5149,12.1587,9.5252,11.466,9.8024,10.7601,11.9975,12.189,14.8948,11.073,11.9398,11.6818,11.8006,10.976,13.7843,12.1372,12.2494,12.2392,12.3648,12.3251,10.0077,12.4701,12.6421,13.1886,10.9067,13.3377,10.4313,13.8283,13.074,10.7427,13.7544,11.8654,10.797,10.5987,11.4559,11.7433,12.2367,11.8789,13.5676,11.7728,11.6557,12.4714,13.452,13.7906,11.8236
"217838_s_at",11.8757,11.8462,12.0364,12.1382,10.1702,10.7519,11.1963,11.7824,10.4109,11.8275,10.139,12.1268,11.5888,11.5862,10.318,10.8835,11.5948,11.375,12.5505,12.1861,10.7861,10.8032,11.0543,13.0999,12.9724,9.9225,11.4232,9.264,11.3047,10.88,9.9765,9.7597,10.2444,12.1172,12.5353,9.8219,11.7453,10.9317,9.1999,10.6316,11.757,11.6953,11.6449,10.1298,11.481,12.4218,9.445,10.3409,11.0928,10.8933,9.3252,11.8731,9.5304,12.0024,12.2818,11.241,11.3783,9.9292,11.9696,10.2909,10.3995,11.1488,11.1661,11.8766,10.1772,8.9295,11.8364,10.9705,10.7006,12.0876,11.4062,8.834,11.2156,11.3198,10.6432,10.3179,12.0128,11.4841,8.2974,12.8914
"209602_s_at",11.1535,10.8437,10.7019,11.6447,10.3437,10.1296,9.9895,10.9835,11.2706,11.3341,10.8359,11.4216,11.2286,11.578,8.3442,10.9844,11.3471,11.4407,10.8253,10.7504,11.2149,10.5645,11.4773,10.3976,11.2285,11.2332,10.9272,10.4623,9.3914,10.4448,9.9629,9.9886,9.4858,9.4651,9.6359,7.9591,10.8931,11.0902,10.3524,7.9057,9.2358,10.1783,9.6186,10.4802,9.2521,10.0121,11.5135,11.4182,10.9122,11.5783,9.7199,11.0155,10.4628,12.5607,10.8822,9.8277,12.0597,11.9369,12.4513,10.2457,10.904,9.9768,12.7286,12.1614,10.6932,11.8087,10.9503,10.0584,10.0387,11.7164,12.8387,10.9124,11.2448,10.6992,11.6566,11.6477,12.0137,12.1999,10.3284,12.0178
"202089_s_at",14.1629,14.5094,11.7586,10.9894,13.4754,11.262,12.7289,13.5852,10.989,14.4436,14.2569,13.7197,13.4658,11.9682,12.3272,13.7677,13.4121,13.7118,13.5653,10.9032,14.0442,12.5275,13.6885,12.0902,10.8328,13.7449,12.0619,12.8618,11.9585,12.8539,10.5498,12.9901,11.0425,12.3137,11.9571,12.047,13.3041,13.1583,10.6078,10.5662,12.1449,13.8486,12.0466,14.4072,12.7767,12.695,10.4101,12.2415,12.2243,14.0003,11.8811,13.585,13.4362,14.0194,14.847,10.5717,13.9615,14.2376,14.6076,11.075,11.1446,11.5356,14.1799,14.4327,9.978,12.238,13.6799,13.4395,9.8385,14.3804,13.6227,13.5402,12.7918,13.5254,13.5966,12.5993,12.9836,14.0242,14.3211,11.8914
"207038_at",8.6291,9.5709,9.3182,10.1055,9.5136,8.3767,8.5858,6.5963,8.3711,8.7704,7.2939,8.3189,10.3166,8.2277,7.8316,9.9091,9.4439,8.5205,7.7991,8.2306,7.4836,8.0604,9.4697,7.8687,9.5559,9.2461,8.733,7.4852,7.8805,8.265,9.8901,8.4985,8.4266,10.0367,8.393,8.997,10.8216,4.7969,9.4743,6.7716,9.0578,8.9169,8.8936,7.4972,8.4924,7.6028,8.6476,9.3888,10.811,7.6279,5.4843,9.0809,10.038,10.9411,9.4377,9.1282,9.1463,13.1925,12.1222,8.269,9.8766,8.8017,9.1827,11.1042,10.159,9.5198,8.1969,8.7467,8.4946,10.1676,11.8412,10.8725,8.7203,8.165,9.0989,7.9048,9.2921,12.0313,8.8168,9.1262
"202088_at",14.6123,14.9213,12.9683,12.8995,14.1768,12.9006,13.8576,14.5652,12.1994,14.8448,14.7702,14.5712,14.1932,13.0582,13.8039,14.3521,14.6268,14.6215,14.5849,12.272,14.6166,13.5248,14.1483,13.5231,12.5746,14.5636,13.293,13.9358,13.4694,13.5839,11.7664,13.9572,12.3134,13.21,13.1868,12.7765,14.1245,13.8195,12.5364,11.6994,14.5124,14.6765,12.7707,15.0905,15.2332,14.1632,11.6388,13.3284,13.5461,14.6412,13.0762,14.8403,14.778,15.093,15.7691,11.2645,15.332,15.0335,15.3275,12.5591,11.8685,13.1425,15.1261,15.1433,12.108,13.9771,14.7497,14.8461,11.1509,15.3408,14.7097,14.4117,14.1117,14.8422,14.7144,14.2253,14.346,15.3118,15.4659,14.474
"204881_s_at",10.5478,10.7098,11.3727,12.5652,11.0751,9.6794,10.2045,10.518,10.4363,12.4399,9.8834,10.4931,12.0545,10.3183,9.9539,10.9344,11.4219,11.1725,12.3831,10.2985,11.3247,10.7347,13.484,10.4579,10.2968,11.896,11.0832,10.5687,9.681,10.379,11.2222,11.6251,11.9489,13.1831,12.2556,11.0301,12.7712,11.1614,10.5872,9.8445,10.5631,11.4698,11.159,13.3501,10.2923,11.2882,10.6571,11.0808,12.1521,10.6344,10.4987,11.2715,10.6363,11.406,11.1085,10.7899,13.2399,11.407,14.0896,9.9988,11.0949,10.3498,12.2878,11.7765,10.3089,13.0417,9.3806,11.1356,11.2593,11.9386,12.4597,11.3543,11.4534,10.7148,10.8744,9.5824,10.645,13.1057,10.513,9.9504
"218532_s_at",9.6457,8.3003,10.2413,9.1473,11.323,9.5452,9.2363,8.7106,10.6617,9.3523,9.6636,7.0996,9.3448,7.9362,8.6554,7.1285,9.5004,9.7527,9.2527,8.5971,10.622,9.1115,9.0509,9.6652,10.5635,10.1627,11.0559,9.1104,7.9246,9.9704,7.3155,7.4906,8.1973,9.4272,9.8445,8.1758,10.5191,10.7217,7.2008,8.3462,8.021,8.3468,8.222,11.534,8.272,7.3477,9.0917,8.7035,11.4691,10.1557,9.3966,8.7656,7.9558,8.0182,7.6234,9.451,11.1884,8.1467,11.111,9.0919,11.1447,8.4889,11.0532,8.3856,10.524,9.608,9.6837,8.3802,9.2757,10.3111,7.7028,6.9477,8.2991,7.718,9.1266,7.3664,9.3242,10.4416,9.4523,11.0254
"211000_s_at",9.7316,11.2882,8.6531,9.3832,9.8925,8.0986,8.4126,7.3408,8.3199,10.5145,9.4412,10.2516,8.5213,10.2295,8.6925,9.7912,8.1922,8.08,11.2485,8.709,10.8391,8.2247,10.0655,9.9885,9.5004,8.6124,8.9823,6.2171,7.3856,9.3928,8.7043,9.8677,9.6606,8.8123,8.9915,9.5603,10.4977,8.0425,9.1572,8.8198,8.9393,9.5907,10.1994,10.3641,8.1985,9.8928,9.7502,10.1925,8.1579,8.7727,9.5357,11.8044,10.1959,10.5512,10.2665,10.6822,7.7802,12.0041,8.7245,9.7964,9.0567,9.2866,7.931,12.3638,7.4087,10.5717,11.0189,10.4823,10.1247,8.8426,11.3585,11.7497,10.1846,10.2869,10.6426,9.957,10.5722,11.8854,11.5475,9.3844
"218259_at",10.3963,9.4142,10.2641,10.8369,10.4516,10.2003,9.748,10.105,11.0696,11.0321,9.9305,10.7207,10.219,10.2563,9.8752,10.7859,11.1199,10.6188,10.719,10.559,11.599,10.0253,10.1936,10.3158,9.7882,10.3804,11.4126,10.7653,9.0908,10.2136,9.5735,9.861,9.331,9.8416,10.404,9.3987,10.9502,10.9612,10.1725,9.8749,10.2832,10.8738,9.7258,10.6735,9.3742,11.5701,10.7564,10.5276,10.0065,10.2998,9.971,10.454,9.5806,9.4347,9.6822,8.8335,10.2627,9.8089,10.2709,9.9914,8.8288,9.5211,10.3205,10.0396,10.0364,11.0747,10.2379,10.252,8.6835,10.1802,10.2717,10.3731,10.6647,9.6711,9.8321,10.2637,9.4126,10.9471,10.1181,10.6441
"209791_at",8.1878,8.3732,10.3116,9.0129,8.7498,9.8715,9.1482,8.8037,8.885,8.848,9.9711,8.9031,8.6507,10.6408,9.8894,8.5574,9.1237,8.0933,8.2355,8.9146,8.4618,9.2305,8.9684,8.8072,9.3776,8.5885,7.9093,7.9739,10.1969,9.3969,9.0077,7.091,10.0147,6.6321,9.1598,8.8986,8.017,6.9284,8.6421,8.702,11.5716,8.8875,8.6472,8.8014,8.8315,8.9008,8.9021,9.663,7.0239,7.5124,10.0131,9.2842,10.8836,8.9022,8.7569,6.3181,7.6202,9.0518,8.594,10.2496,8.8099,7.794,7.9746,8.4242,9.4978,9.226,5.2568,10.2095,7.7126,7.1582,9.4319,9.8839,10.3246,5.5552,8.778,9.9258,8.2537,7.6709,6.3779,7.5109
"218807_at",11.712,11.2932,10.2407,8.7277,11.3518,10.3461,11.0891,12.4416,12.541,12.5266,10.0633,12.111,10.3827,11.6894,11.6335,11.8633,12.6619,12.3172,11.7564,12.7905,13.2121,10.8692,10.0033,11.8582,10.9744,11.8726,11.9333,12.339,10.734,10.9875,11.083,11.5952,11.4746,11.8745,10.6268,11.8013,11.5208,12.397,12.8353,9.4504,10.9156,11.7578,11.9112,12.7913,9.9873,12.4224,11.3707,11.4762,11.9938,12.5122,11.9201,11.5283,11.2121,12.0799,11.8091,11.1796,9.3168,12.0055,12.2305,11.5416,11.2032,8.8376,12.7091,12.3639,11.4339,12.2304,10.7825,11.3811,9.7584,12.9344,11.3105,12.5161,11.0178,11.637,11.9326,11.2821,12.5332,12.8961,12.0728,11.5543
"221765_at",8.4652,9.1804,9.9421,11.6723,9.4039,9.2967,8.3236,8.8997,9.1526,11.026,8.0802,9.0061,10.3056,8.6289,9.083,9.8328,10.3784,9.4373,11.4367,8.6282,9.4813,9.1093,12.1734,9.192,9.0788,10.6886,10.1947,9.3431,7.8924,9.1768,8.957,9.5458,9.4477,11.155,10.5003,8.972,12.037,10.1165,9.9723,8.0915,9.2974,10.1542,9.768,11.259,8.7546,10.5986,9.3166,9.2629,11.1457,9.4791,8.8811,10.6206,10.5639,10.6539,10.1877,9.1497,12.6124,10.6045,13.287,8.9287,9.6786,10.1138,11.046,11.0824,9.5242,12.3672,8.293,9.2812,10.476,10.4221,11.8409,10.3143,10.0862,9.5609,10.3514,9.276,9.6958,12.4147,10.2036,9.9432
"203628_at",10.7755,9.841,9.4169,10.7668,11.3913,10.2676,8.7482,11.4914,9.6999,10.5476,10.3318,10.3855,9.9131,9.1156,8.7747,10.119,9.7976,10.4411,10.1586,8.2562,10.7554,8.2252,10.0395,9.4791,9.39,9.9992,11.8109,10.4012,7.119,9.5526,9.3018,10.2279,8.2331,12.7105,11.0676,9.8635,10.9983,12.556,10.2914,8.2314,11.1697,10.1469,9.3901,14.782,9.5163,10.0812,8.7538,8.3349,11.285,10.8229,9.3252,10.3429,9.0396,9.4836,10.6958,8.2568,8.0274,8.9142,10.3326,9.6083,8.5708,7.3792,15.5445,10.1334,9.3583,10.7715,9.5154,10.434,8.4852,11.8836,8.9492,8.7039,8.7127,9.9817,8.5383,8.0269,9.6906,10.2376,7.9791,10.7241
