"","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"217838_s_at",7.6534,9.5579,8.2785,8.4605,9.5908,9.714,9.5206,8.8303,9.5858,9.1748,9.6102,8.1124,8.8584,9.5531,8.3891,8.5696,9.1637,9.3707,9.5212,9.7588,9.4687,9.3471,8.6887,9.5392,9.0761,7.9828,9.714,9.5302,11.5631,8.7314,9.0649,9.0741,8.7721,8.9233,8.9352,10.4665,10.3452,8.574,10.8968,9.4023,8.8049,8.6673,9.6942,8.319,8.9967,9.1497,9.5993,11.8732,10.2426,9.2279
"209602_s_at",7.3628,8.1069,7.5764,6.6175,9.1959,10.1162,9.2392,8.8079,8.9575,3.9655,10.3926,6.7092,7.6899,8.2722,7.4846,6.5262,7.2882,8.4579,7.8565,5.773,7.2402,10.4453,6.7967,8.2617,7.5495,7.2383,6.1696,5.2545,9.051,5.0434,8.2213,3.6039,3.1119,2.2896,9.1944,7.1936,10.1083,9.2297,7.0487,9.0755,9.0994,6.3071,10.5574,6.9195,6.8205,7.4983,8.3884,10.7905,8.542,8.0318
"202089_s_at",11.5502,9.8817,10.4048,10.5191,10.383,11.4773,10.0365,10.3296,12.8094,9.6299,11.1723,12.0075,9.9015,9.5577,11.1846,10.1474,9.9148,11.2576,8.807,9.6906,10.3754,11.1186,10.6339,10.5638,10.677,11.4741,10.5588,9.7675,11.4991,10.0422,10.7158,8.6664,8.7025,9.412,9.0855,9.8093,12.0006,9.6235,9.1645,10.0836,11.5804,10.2343,10.7427,11.0792,10.2204,10.1837,10.7871,14.7482,11.1835,9.9147
"207038_at",6.1483,4.4582,7.1903,6.7795,7.9957,8.1231,9.2714,7.2436,6.2922,4.744,4.4333,5.5157,4.6579,5.8543,4.7978,6.1169,5.6979,6.0081,3.8101,6.1812,5.1372,7.9784,7.0147,6.9382,7.5892,7.1675,4.3267,5.5214,6.3163,5.8038,7.0178,8.0267,6.2992,4.3915,10.4223,6.7617,7.9585,7.203,7.9085,7.5839,7.2165,5.8849,8.0106,6.1843,3.1047,5.3575,7.1461,8.4716,7.4506,7.8883
"202088_at",12.502,11.1754,11.4306,11.5128,11.6836,12.932,11.4543,11.3805,13.8154,10.0835,12.2009,12.9895,10.7953,10.5884,12.3104,11.0008,11.6687,12.2739,9.1827,10.9274,11.337,11.9665,12.0894,11.7379,12.009,12.4048,12.0185,10.0439,13.5006,10.9534,11.7631,10.8592,10.1966,11.192,9.5147,10.4955,13.0577,11.0909,9.5773,11.0338,13.2228,11.658,11.543,12.593,11.5104,11.55,11.8024,15.5587,12.8014,11.1364
"204881_s_at",10.5552,9.4855,9.6288,9.7419,9.7463,9.4684,10.1392,9.2502,9.9255,9.2424,9.7449,9.9552,9.4503,9.9051,10.0684,9.6394,9.56,9.2831,9.3544,9.4331,9.6884,10.4295,9.8881,9.9532,10.7456,10.6586,9.0239,9.0062,10.3431,9.6558,9.0651,9.2294,9.8425,9.5963,10.496,10.4652,10.2616,9.9956,10.7352,10.4705,9.5484,8.7958,9.6987,9.5637,9.4057,8.5641,9.7494,10.538,11.197,10.9197
"218532_s_at",6.4613,7.2301,6.8401,6.454,7.3767,9.0277,7.9193,7.9615,7.4231,7.5269,8.943,7.9715,7.675,7.9729,7.6609,6.4357,8.1411,7.6337,6.8745,7.0856,7.4029,7.3533,6.9187,6.8268,6.2574,5.0034,7.2522,7.6309,7.4952,6.7161,5.5452,6.1909,5.9048,7.7726,7.9793,7.9016,8.4256,7.7207,8.8132,7.4331,7.9158,5.6187,8.2269,6.406,9.2571,7.6104,7.1796,8.8849,8.6303,6.5515
"211000_s_at",7.4048,8.3427,7.7882,7.3019,7.4405,8.3312,7.5125,7.8092,9.1445,7.9869,7.0588,7.4195,7.2478,7.9352,5.4796,7.9163,7.3067,8.1422,7.5678,7.9979,7.8357,7.8221,7.8934,7.4521,6.7959,7.4478,7.0602,8.0529,8.7553,7.2971,7.7762,7.3346,7.3424,6.6796,6.9191,8.4819,8.0443,7.1951,8.5624,5.4453,7.1916,7.7385,7.4317,9.4961,9.4021,7.6569,7.9382,9.8425,10.7119,7.6231
"218259_at",9.412,9.1956,9.5324,8.7241,9.8298,9.3036,9.6706,8.7706,9.8164,9.3663,9.508,9.2563,9.4573,9.2783,9.2516,10.0361,9.0473,9.2727,9.2656,8.9358,8.6437,9.9684,9.064,9.462,8.4264,9.1613,9.529,9.0583,10.0437,8.3547,9.7361,9.3942,8.8721,8.7264,8.8754,8.8442,9.7746,9.4802,9.0198,9.1116,9.529,9.4021,10.0401,8.6124,8.8645,9.379,9.1146,10.4732,9.7696,9.1594
"209791_at",10.3055,10.8728,11.1324,10.3599,9.0577,10.4562,10.8929,8.7486,11.0469,10.509,10.4479,10.7394,10.3891,10.1466,11.2271,11.4846,11.6237,10.3051,10.0707,10.5846,10.4193,10.6969,9.747,10.8432,11.0668,9.779,9.7121,11.5622,9.7264,8.3055,8.8393,7.0309,10.7038,12.1716,10.3215,11.467,10.7245,11.0791,8.2823,11.9134,10.6659,11.0591,9.7435,10.2371,11.3645,11.5145,10.9014,8.1655,10.2346,9.326
