"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"1","371","0.621441451942952","0.586621743873244","0.568986323411102","0.568986323411103"
"2","369","0.610616595514622","0.576253734995511","0.56676284250627","0.566762842506272"
"3","378","0.614969048384393","0.589153308429044","0.564020278264162","0.564020278264161"
"4","161","0.606361460189779","0.56624853717583","0.559051275377408","0.559051275377408"
"5","579","0.596195506196232","0.56547273710659","0.554489701149969","0.554489701149971"
"6","581","0.598627022451519","0.564469822732594","0.551996326487152","0.551996326487152"
"7","376","0.599304407007967","0.559390750825542","0.551212525436562","0.551212525436562"
"8","792","0.596957596101511","0.564470888218034","0.550813230561734","0.550813230561734"
"9","152","0.601508351129578","0.555940875576808","0.550106330746297","0.550106330746297"
"10","159","0.591936097984618","0.550552401783874","0.549024537409493","0.549024537409493"
"11","586","0.59490794708853","0.557100533423047","0.547263203350528","0.547263203350528"
"12","588","0.598647115980998","0.567285691493606","0.54692749988169","0.546927499881691"
"13","785","0.606390647917399","0.557473338647149","0.546129649566987","0.546129649566987"
"14","154","0.604175088220173","0.551866087240216","0.544405287255691","0.544405287255691"
"15","168","0.601925904995274","0.554845908466748","0.543693950830533","0.543693950830534"
"16","364","0.60674157835342","0.561788710347244","0.54355789479911","0.543557894799111"
"17","458","0.767156862745098","0.561274509803922","0.457699230895107","0.542300769104893"
"18","786","0.606873376605478","0.564070207416279","0.539962762055747","0.539962762055748"
"19","575","0.60166365000561","0.544662882390872","0.538812940703232","0.538812940703233"
"20","368","0.544185555987414","0.539459539283601","0.46144623124793","0.53855376875207"
"21","365","0.601800204623879","0.547250807329997","0.538326392503904","0.538326392503904"
"22","158","0.56036631910795","0.540001229039493","0.461778976976953","0.538221023023047"
"23","789","0.600569738069593","0.551894244338178","0.537978118640859","0.53797811864086"
"24","793","0.603344347941146","0.56133928604362","0.537469757110407","0.537469757110407"
"25","155","0.588295187906063","0.533904521966538","0.535215589655009","0.53521558965501"
"26","166","0.591331640001725","0.540128430561383","0.53480076664616","0.534800766646159"
"27","362","0.595892846974648","0.550864967239145","0.533957071364346","0.533957071364347"
"28","361","0.56518506122468","0.538063358724107","0.467139140954049","0.532860859045951"
"29","782","0.595273243374201","0.542819066330628","0.532356194690266","0.532356194690266"
"30","141","0.584566101011776","0.535963629273275","0.532308131418295","0.532308131418296"
"31","145","0.60234224436411","0.542733231780832","0.529667609199754","0.529667609199754"
"32","39","0.561639268716499","0.533507415465547","0.528224601888221","0.528224601888221"
"33","147","0.601142521294853","0.535770065863574","0.527782789503573","0.527782789503575"
"34","165","0.553502025641949","0.526528092175175","0.472860149188396","0.527139850811604"
"35","151","0.560089049763876","0.534548601664217","0.474805602550755","0.525194397449245"
"36","767","0.542883411218841","0.525863564543615","0.525014345038096","0.525014345038096"
"37","791","0.59652193439408","0.538443457254748","0.524836880649283","0.524836880649283"
"38","779","0.597142211698762","0.550003289686678","0.524829116582272","0.524829116582273"
"39","358","0.583333015839474","0.526693794700204","0.522163453575316","0.522163453575316"
"40","585","0.561075848240346","0.522674405558573","0.477863166083006","0.522136833916994"
"41","796","0.594483112570622","0.534600734821952","0.521087206000662","0.521087206000662"
"42","582","0.583233382274259","0.531490937215734","0.520918614831291","0.520918614831291"
"43","144","0.559017613596271","0.529261913920631","0.520315235909327","0.520315235909327"
"44","578","0.549003007028912","0.523134769818424","0.480144692631679","0.519855307368321"
"45","771","0.592432507722755","0.526888160511516","0.519389463347688","0.519389463347688"
"46","772","0.595870229247769","0.542850199739881","0.519296294543562","0.519296294543561"
"47","775","0.592700510071785","0.528089833643094","0.519237139747291","0.519237139747291"
"48","143","0.595069086518487","0.532764935589723","0.517517953480668","0.517517953480668"
"49","701","0.596478025317905","0.52799340311821","0.516952285741328","0.516952285741328"
"50","375","0.548709992091958","0.514620100813502","0.483553857484265","0.516446142515735"
"51","4","0.551794866626644","0.520775716164962","0.483645177701008","0.516354822298992"
"52","359","0.587278585100615","0.535438065945564","0.516075315886612","0.516075315886612"
"53","1","0.587018178682701","0.525755111265512","0.514549861577777","0.514549861577776"
"54","366","0.59020442559372","0.537162141748466","0.514255936183806","0.514255936183806"
"55","351","0.58182734062141","0.520868441150997","0.514189017320524","0.514189017320525"
"56","708","0.583386384003209","0.5188248464051","0.513774194311675","0.513774194311675"
"57","5","0.591716127123006","0.523679211818095","0.513224794141309","0.513224794141309"
